texto,sentimento
Sorria! Deus acaba de te dar um novo dia e coisas extraordinárias podem acontecer se você crer!,Feliz
Contarte longamente as perigosas coisas do mar. Contarte o amor ardente as ilhas que só há no verbo amar. Contarte longamente longamente.,Feliz
Bom dia alegria!,Feliz
A amizade desenvolve a felicidade e reduz o sofrimento duplicando a nossa alegria e dividindo a nossa dor.,Feliz
Sorria bonito e deixe os outros quererem descobrir qual é o segredo que faz você rir.,Feliz
Quem tentar possuir uma flor verá sua beleza murchando. Mas quem apenas olhar uma flor num campo permanecerá para sempre com ela. Você nunca será minha e por isso terei você para sempre.,Feliz
O amor surge quando aprendemos a admirar as qualidades de uma pessoa que com sua simples presença nos faz sentir especial.,Feliz
O nosso verdadeiro lugar de nascimento é aquele em que lançamos pela primeira vez um olhar de inteligência sobre nós próprios.,Feliz
O sábio pode descobrir o mundo sem transpor a sua porta. Vê sem olhar realiza sem agir.,Feliz
As vezes você perdoa uma pessoa porque a falta que ela faz em sua vida é maior do que o erro que ela cometeu.,Triste
Sabe porque a decepção dói tanto Porque ela nunca vem de um inimigo.,Triste
E tem horas que o coração aperta e aquela vontade de chorar aparece.,Triste
Sinto falta de muitas coisas Mas isso não quer dizer que quero ter de volta Já doeu uma vez.,Triste
Ver as pessoas mudarem não é o que mais machuca. É lembrar como elas costumavam ser.,Triste
Eu luto bastante pelas pessoas que amo mas quando eu desisto não tem volta.,Triste
Deus me dá teu colo são dias difíceis.,Triste
Decepções fazem as pessoas mudarem.,Triste
Somos feitos de carne mas temos de viver como se fossemos de ferro.,Triste
Certas coisas a gente tem que aprender a superar.,Triste
Procurando o bem para os nossos semelhantes encontramos o nosso.,Feliz
O bem que fizemos na véspera é o que nos traz a felicidade pela manhã.,Feliz
A vida não precisa ser perfeita para ser maravilhosa.,Feliz
A felicidade é um estado durável de plenitude satisfação e equilíbrio físico.,Feliz
A melhor maneira de se ser feliz é contribuir para a felicidade dos outros.,Feliz
O perfume sempre perdura na mão que oferece a rosa.,Feliz
A verdadeira felicidade só existe onde a virtude tem culto.,Feliz
Abre o teu coração com quem conhece a tua alma.,Feliz
A bondade é uma reserva de felicidade porque deixa gozar a aventura dos outros depois de havermos a própria.,Feliz
A honestidade é o primeiro mandamento do homem que busca o verdadeiro amor.,Feliz
Magoar quem a gente gosta dói na gente mesmo.,Triste
Por mais que a verdade doa a sinceridade nunca magoa.,Triste
O ciúme o receio de deixar o medo de ser deixado são as dores inseparáveis do declínio do amor.,Triste
Fiquei magoado não por me teres mentido mas por não poder voltar a acreditar-te.,Triste
Há homens que buscam a tristeza como se lhes fosse preciso sofrer para sentir.,Triste
Amor sem paixão é triste paixão sem amor é horrível.,Triste
Alivia toda tua mágoa com o vinho e a música.,Triste
